Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , White Estimate , White Margin of error (MOE) , White Percent of total , White Percent of total margin of error (MOE) , Black Estimate , Black Margin of error (MOE) , Black Percent of total , Black Percent of total margin of error (MOE) , Asian Estimate , Asian Margin of error (MOE) , Asian Percent of total , Asian Percent of total margin of error (MOE) , American Indian and Alaska Native Estimate , American Indian and Alaska Native Margin of error (MOE) , American Indian and Alaska Native Percent of total , American Indian and Alaska Native Percent of total margin of error (MOE) , Native Hawaiian and other Pacific Islander Estimate , Native Hawaiian and other Pacific Islander Margin of error (MOE) , Native Hawaiian and other Pacific Islander Percent of total , Native Hawaiian and other Pacific Islander Percent of total margin of error (MOE) , Some other race Estimate , Some other race Margin of error (MOE) , Some other race Percent of total , Some other race Percent of total margin of error (MOE) , Two or more  races Estimate , Two or more  races Margin of error (MOE) , Two or more  races Percent of total , Two or more  races Percent of total margin of error (MOE) , Hispanic Estimate , Hispanic Margin of error (MOE) , Hispanic Percent of total , Hispanic Percent of total margin of error (MOE) , White non-Hispanic Estimate , White non-Hispanic Margin of error (MOE) , White non-Hispanic Percent of total , White non-Hispanic Percent of total margin of error (MOE) 
287,NC,North Carolina,2," 601,142 "," 7,863 "," 444,665 "," 7,273 ", 74.0 , 1.0 ," 119,621 "," 5,471 ", 19.9 , 0.8 ," 9,392 "," 1,669 ", 1.6 , 0.3 , N , N , N , N , N , N , N , N ," 9,924 "," 2,278 ", 1.7 , 0.4 ," 14,159 "," 2,986 ", 2.4 , 0.5 ," 30,892 "," 3,629 ", 5.1 , 0.6 ," 426,822 "," 7,324 ", 71.0 , 1.0 
288,NC,North Carolina,3," 579,504 "," 4,996 "," 434,029 "," 4,865 ", 74.9 , 0.7 ," 118,178 "," 6,728 ", 20.4 , 1.1 ," 5,943 "," 1,171 ", 1.0 , 0.2 , N , N , N , N , N , N , N , N ," 5,875 "," 1,667 ", 1.0 , 0.3 ," 13,032 "," 5,113 ", 2.2 , 0.9 ," 32,821 "," 2,034 ", 5.7 , 0.3 ," 411,242 "," 4,182 ", 71.0 , 0.6 
289,NC,North Carolina,4," 624,834 "," 7,413 "," 411,527 "," 5,994 ", 65.9 , 0.9 ," 146,679 "," 6,677 ", 23.5 , 1.0 ," 35,825 "," 3,038 ", 5.7 , 0.5 , N , N , N , N , N , N , N , N ," 10,929 "," 2,178 ", 1.7 , 0.4 ," 17,827 "," 3,361 ", 2.9 , 0.5 ," 33,104 "," 3,837 ", 5.3 , 0.6 ," 393,780 "," 5,499 ", 63.0 , 0.9 
290,NC,North Carolina,5," 572,721 "," 3,131 "," 466,868 "," 3,592 ", 81.5 , 0.5 ," 85,452 "," 1,969 ", 14.9 , 0.3 ," 4,699 ", 936 , 0.8 , 0.2 , N , N , N , N , N , N , N , N ," 5,021 "," 2,248 ", 0.9 , 0.4 ," 7,024 "," 1,594 ", 1.2 , 0.3 ," 19,976 "," 1,944 ", 3.5 , 0.3 ," 452,028 "," 2,909 ", 78.9 , 0.5 
291,NC,North Carolina,6," 567,392 "," 5,676 "," 424,602 "," 5,223 ", 74.8 , 0.8 ," 119,618 "," 5,442 ", 21.1 , 0.9 ," 6,507 "," 1,297 ", 1.1 , 0.2 , N , N , N , N , N , N , N , N ," 5,973 "," 1,620 ", 1.1 , 0.3 ," 9,115 "," 3,566 ", 1.6 , 0.6 ," 20,646 "," 2,381 ", 3.6 , 0.4 ," 410,991 "," 4,878 ", 72.4 , 0.8 
292,NC,North Carolina,7," 613,510 "," 5,769 "," 469,998 "," 5,281 ", 76.6 , 0.5 ," 118,488 "," 3,397 ", 19.3 , 0.5 ," 5,780 "," 1,001 ", 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 5,532 "," 1,813 ", 0.9 , 0.3 ," 9,136 "," 1,874 ", 1.5 , 0.3 ," 23,421 "," 2,724 ", 3.8 , 0.4 ," 453,215 "," 4,367 ", 73.9 , 0.5 
293,NC,North Carolina,8," 581,896 "," 5,618 "," 403,599 "," 4,765 ", 69.4 , 0.7 ," 135,482 "," 3,748 ", 23.3 , 0.6 ," 10,986 "," 1,380 ", 1.9 , 0.2 ," 6,373 "," 1,267 ", 1.1 , 0.2 , N , N , N , N ," 9,366 "," 1,785 ", 1.6 , 0.3 ," 15,169 "," 5,256 ", 2.6 , 0.9 ," 39,927 "," 2,261 ", 6.9 , 0.4 ," 376,894 "," 3,793 ", 64.8 , 0.6 
294,NC,North Carolina,9," 561,804 "," 6,951 "," 372,678 "," 6,088 ", 66.3 , 0.9 ," 114,021 "," 4,765 ", 20.3 , 0.8 ," 12,784 "," 2,235 ", 2.3 , 0.4 ," 46,404 "," 1,575 ", 8.3 , 0.3 , N , N , N , N ," 5,792 "," 1,698 ", 1.0 , 0.3 ," 10,192 "," 4,004 ", 1.8 , 0.7 ," 22,046 "," 2,803 ", 3.9 , 0.5 ," 360,064 "," 5,739 ", 64.1 , 0.8 
295,NC,North Carolina,10," 585,102 "," 4,892 "," 490,630 "," 4,632 ", 83.9 , 0.4 ," 72,610 "," 1,934 ", 12.4 , 0.4 ," 7,352 "," 1,354 ", 1.3 , 0.2 , N , N , N , N , N , N , N , N ," 4,876 "," 1,317 ", 0.8 , 0.2 ," 8,227 "," 3,648 ", 1.4 , 0.6 ," 18,328 "," 2,265 ", 3.1 , 0.4 ," 477,282 "," 4,474 ", 81.6 , 0.5 
296,NC,North Carolina,11," 604,505 "," 5,083 "," 558,971 "," 4,425 ", 92.5 , 0.4 ," 19,383 "," 2,661 ", 3.2 , 0.4 ," 5,123 ", 767 , 0.8 , 0.1 ," 8,500 "," 1,619 ", 1.4 , 0.3 , N , N , N , N ," 4,014 "," 1,498 ", 0.7 , 0.2 ," 8,761 "," 2,801 ", 1.4 , 0.5 ," 17,019 "," 2,784 ", 2.8 , 0.4 ," 547,147 "," 3,702 ", 90.5 , 0.5 
297,NC,North Carolina,12," 591,843 "," 7,234 "," 300,205 "," 6,197 ", 50.7 , 0.8 ," 241,622 "," 4,740 ", 40.8 , 0.7 ," 18,524 "," 2,388 ", 3.1 , 0.4 , N , N , N , N , N , N , N , N ," 15,765 "," 2,756 ", 2.7 , 0.5 ," 13,675 "," 2,407 ", 2.3 , 0.4 ," 39,878 "," 3,457 ", 6.7 , 0.6 ," 281,602 "," 5,875 ", 47.6 , 0.8 
298,NC,North Carolina,13," 579,274 "," 7,005 "," 418,093 "," 6,020 ", 72.2 , 0.9 ," 128,571 "," 5,076 ", 22.2 , 0.8 ," 11,668 "," 1,832 ", 2.0 , 0.3 , N , N , N , N , N , N , N , N ," 5,810 "," 1,687 ", 1.0 , 0.3 ," 12,172 "," 4,154 ", 2.1 , 0.7 ," 20,610 "," 2,114 ", 3.6 , 0.4 ," 405,021 "," 5,548 ", 69.9 , 0.8 
299,ND,North Dakota,At-large," 567,351 "," 3,196 "," 507,582 "," 1,979 ", 89.5 , 0.5 ," 13,529 "," 1,952 ", 2.4 , 0.3 ," 3,741 "," 1,125 ", 0.7 , 0.2 ," 26,810 "," 2,682 ", 4.7 , 0.5 , N , N , N , N , N , N , N , N ," 9,794 "," 2,804 ", 1.7 , 0.5 ," 16,825 "," 1,096 ", 3.0 , 0.2 ," 497,987 "," 1,596 ", 87.8 , 0.4 
300,OH,Ohio,1," 541,695 "," 5,990 "," 408,101 "," 5,269 ", 75.3 , 0.7 ," 110,142 "," 4,545 ", 20.3 , 0.8 ," 9,566 "," 2,027 ", 1.8 , 0.4 , N , N , N , N , N , N , N , N ," 1,488 ", 646 , 0.3 , 0.1 ," 11,816 "," 4,693 ", 2.2 , 0.9 ," 9,240 "," 1,716 ", 1.7 , 0.3 ," 401,223 "," 5,063 ", 74.1 , 0.7 
301,OH,Ohio,2," 557,971 "," 6,728 "," 491,315 "," 6,230 ", 88.1 , 0.7 ," 49,326 "," 3,853 ", 8.8 , 0.7 ," 5,822 "," 1,584 ", 1.0 , 0.3 , N , N , N , N , N , N , N , N , N , N , N , N ," 8,794 "," 3,876 ", 1.6 , 0.7 ," 6,748 "," 1,502 ", 1.2 , 0.3 ," 486,127 "," 6,071 ", 87.1 , 0.7 
302,OH,Ohio,3," 560,963 "," 8,952 "," 340,692 "," 6,770 ", 60.7 , 0.9 ," 176,124 "," 4,877 ", 31.4 , 0.8 ," 16,451 "," 3,634 ", 2.9 , 0.6 , N , N , N , N , N , N , N , N ," 8,231 "," 1,756 ", 1.5 , 0.3 ," 17,728 "," 3,265 ", 3.2 , 0.6 ," 20,280 "," 2,261 ", 3.6 , 0.4 ," 330,269 "," 6,143 ", 58.9 , 0.7 
303,OH,Ohio,4," 542,874 "," 4,816 "," 497,072 "," 4,849 ", 91.6 , 0.3 ," 29,506 "," 3,521 ", 5.4 , 0.6 ," 3,577 "," 1,036 ", 0.7 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 7,578 "," 3,019 ", 1.4 , 0.6 ," 17,159 "," 1,504 ", 3.2 , 0.3 ," 484,081 "," 4,857 ", 89.2 , 0.4 
304,OH,Ohio,5," 549,171 "," 4,850 "," 510,516 "," 4,616 ", 93.0 , 0.6 ," 16,042 "," 3,087 ", 2.9 , 0.6 ," 4,916 "," 1,041 ", 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 7,476 "," 1,643 ", 1.4 , 0.3 ," 9,328 "," 3,325 ", 1.7 , 0.6 ," 22,718 "," 1,401 ", 4.1 , 0.3 ," 497,742 "," 4,398 ", 90.6 , 0.5 
305,OH,Ohio,6," 545,803 "," 4,800 "," 522,541 "," 4,922 ", 95.7 , 0.3 ," 11,949 "," 2,567 ", 2.2 , 0.5 , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N , N ," 6,885 "," 2,584 ", 1.3 , 0.5 ," 4,139 ", 765 , 0.8 , 0.1 ," 519,628 "," 4,897 ", 95.2 , 0.3 
306,OH,Ohio,7," 557,024 "," 7,057 "," 524,020 "," 6,957 ", 94.1 , 0.4 ," 19,576 "," 3,354 ", 3.5 , 0.6 ," 2,541 "," 1,040 ", 0.5 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 8,307 "," 3,871 ", 1.5 , 0.7 ," 7,516 "," 1,518 ", 1.3 , 0.3 ," 517,963 "," 6,852 ", 93.0 , 0.5 
307,OH,Ohio,8," 546,406 "," 2,927 "," 495,127 "," 2,069 ", 90.6 , 0.3 ," 31,555 "," 1,843 ", 5.8 , 0.3 ," 7,559 ", 999 , 1.4 , 0.2 , N , N , N , N , N , N , N , N ," 2,046 ", 871 , 0.4 , 0.2 ," 9,717 "," 3,630 ", 1.8 , 0.7 ," 9,288 "," 1,695 ", 1.7 , 0.3 ," 488,253 "," 1,753 ", 89.4 , 0.4 
308,OH,Ohio,9," 545,749 "," 8,394 "," 429,379 "," 8,536 ", 78.7 , 0.9 ," 80,260 "," 4,460 ", 14.7 , 0.8 ," 6,204 "," 1,695 ", 1.1 , 0.3 , N , N , N , N , N , N , N , N ," 11,416 "," 1,824 ", 2.1 , 0.3 ," 15,979 "," 2,545 ", 2.9 , 0.5 ," 52,906 "," 2,742 ", 9.7 , 0.5 ," 396,171 "," 8,802 ", 72.6 , 0.9 
309,OH,Ohio,10," 552,514 "," 2,402 "," 439,582 "," 1,803 ", 79.6 , 0.3 ," 87,640 "," 2,297 ", 15.9 , 0.4 ," 8,761 ", 933 , 1.6 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 13,259 "," 4,079 ", 2.4 , 0.7 ," 10,696 "," 1,042 ", 1.9 , 0.2 ," 431,513 "," 1,280 ", 78.1 , 0.3 
310,OH,Ohio,11," 524,803 "," 8,831 "," 226,407 "," 7,743 ", 43.1 , 1.0 ," 269,913 "," 5,003 ", 51.4 , 1.0 ," 8,086 "," 1,441 ", 1.5 , 0.3 , N , N , N , N , N , N , N , N ," 5,232 "," 2,364 ", 1.0 , 0.4 ," 13,329 "," 2,231 ", 2.5 , 0.4 ," 17,237 "," 2,009 ", 3.3 , 0.4 ," 216,076 "," 7,476 ", 41.2 , 1.0 
311,OH,Ohio,12," 585,940 "," 7,173 "," 528,755 "," 6,818 ", 90.2 , 0.6 ," 28,752 "," 2,281 ", 4.9 , 0.4 ," 13,546 "," 2,332 ", 2.3 , 0.4 , N , N , N , N , N , N , N , N , N , N , N , N ," 11,981 "," 1,958 ", 2.0 , 0.3 ," 11,415 "," 1,766 ", 1.9 , 0.3 ," 520,414 "," 6,908 ", 88.8 , 0.6 
312,OH,Ohio,13," 559,931 "," 7,719 "," 477,923 "," 6,763 ", 85.4 , 0.5 ," 60,746 "," 3,066 ", 10.8 , 0.5 ," 6,651 "," 1,576 ", 1.2 , 0.3 , N , N , N , N , N , N , N , N , N , N , N , N ," 10,148 "," 3,660 ", 1.8 , 0.7 , N , N , N , N ," 465,719 "," 6,201 ", 83.2 , 0.5 
313,OH,Ohio,14," 553,668 "," 6,479 "," 510,204 "," 5,955 ", 92.1 , 0.6 ," 26,638 "," 3,949 ", 4.8 , 0.7 ," 8,399 "," 1,739 ", 1.5 , 0.3 , N , N , N , N , N , N , N , N ," 1,973 ", 942 , 0.4 , 0.2 ," 6,981 "," 1,527 ", 1.3 , 0.3 ," 11,531 "," 1,638 ", 2.1 , 0.3 ," 500,765 "," 5,935 ", 90.4 , 0.7 
314,OH,Ohio,15," 586,092 "," 6,358 "," 534,595 "," 6,068 ", 91.2 , 0.6 ," 27,259 "," 3,079 ", 4.7 , 0.5 ," 10,215 "," 2,086 ", 1.7 , 0.4 , N , N , N , N , N , N , N , N , N , N , N , N ," 11,631 "," 3,408 ", 2.0 , 0.6 ," 8,845 "," 1,541 ", 1.5 , 0.3 ," 528,345 "," 6,079 ", 90.1 , 0.6 
315,OH,Ohio,16," 553,316 "," 8,332 "," 518,260 "," 7,758 ", 93.7 , 0.6 ," 17,301 "," 4,516 ", 3.1 , 0.8 ," 8,248 "," 1,489 ", 1.5 , 0.3 , N , N , N , N , N , N , N , N ," 1,542 ", 967 , 0.3 , 0.2 ," 7,381 "," 3,537 ", 1.3 , 0.6 ," 9,945 "," 1,511 ", 1.8 , 0.3 ," 510,246 "," 7,663 ", 92.2 , 0.6 
316,OK,Oklahoma,1," 565,812 "," 2,986 "," 430,528 "," 2,635 ", 76.1 , 0.3 ," 47,764 "," 1,449 ", 8.4 , 0.3 ," 10,687 "," 1,140 ", 1.9 , 0.2 ," 35,350 "," 3,266 ", 6.2 , 0.6 , N , N , N , N ," 6,006 "," 1,194 ", 1.1 , 0.2 ," 35,447 "," 2,055 ", 6.3 , 0.4 ," 34,808 "," 1,749 ", 6.2 , 0.3 ," 403,810 "," 1,914 ", 71.4 , 0.3 
317,OK,Oklahoma,2," 564,213 "," 2,174 "," 395,157 "," 2,009 ", 70.0 , 0.3 ," 19,853 "," 1,371 ", 3.5 , 0.2 ," 2,554 ", 528 , 0.5 , 0.1 ," 94,348 "," 3,435 ", 16.7 , 0.6 , 537 , 235 , 0.1 , 0.1 ," 4,477 ", 955 , 0.8 , 0.2 ," 47,835 "," 3,978 ", 8.5 , 0.7 ," 17,417 "," 1,125 ", 3.1 , 0.2 ," 386,314 "," 1,835 ", 68.5 , 0.3 
318,OK,Oklahoma,3," 571,661 "," 2,631 "," 470,884 "," 3,263 ", 82.4 , 0.5 ," 24,256 "," 1,414 ", 4.2 , 0.2 ," 5,948 ", 934 , 1.0 , 0.2 ," 32,025 "," 3,068 ", 5.6 , 0.5 , N , N , N , N ," 11,938 "," 1,956 ", 2.1 , 0.3 ," 27,206 "," 4,373 ", 4.8 , 0.8 ," 36,389 "," 1,748 ", 6.4 , 0.3 ," 450,725 "," 2,461 ", 78.8 , 0.3 
319,OK,Oklahoma,4," 589,702 "," 4,619 "," 462,131 "," 3,866 ", 78.4 , 0.5 ," 38,683 "," 2,890 ", 6.6 , 0.5 ," 10,100 "," 1,623 ", 1.7 , 0.3 ," 30,259 "," 3,461 ", 5.1 , 0.6 , N , N , N , N ," 11,086 "," 1,736 ", 1.9 , 0.3 ," 36,816 "," 5,004 ", 6.2 , 0.8 ," 39,832 "," 1,841 ", 6.8 , 0.3 ," 437,276 "," 3,466 ", 74.2 , 0.5 
320,OK,Oklahoma,5," 561,277 "," 5,517 "," 404,896 "," 4,778 ", 72.1 , 0.6 ," 74,608 "," 3,596 ", 13.3 , 0.6 ," 14,329 "," 1,731 ", 2.6 , 0.3 ," 27,296 "," 3,128 ", 4.9 , 0.6 , N , N , N , N ," 11,351 "," 2,570 ", 2.0 , 0.5 ," 28,839 "," 3,149 ", 5.1 , 0.6 ," 47,050 "," 3,459 ", 8.4 , 0.6 ," 371,767 "," 3,121 ", 66.2 , 0.6 
321,OR,Oregon,1," 606,198 "," 6,201 "," 513,567 "," 4,432 ", 84.7 , 0.7 ," 10,563 "," 1,742 ", 1.7 , 0.3 ," 37,244 "," 2,864 ", 6.1 , 0.5 , N , N , N , N , N , N , N , N ," 13,522 "," 2,971 ", 2.2 , 0.5 ," 23,694 "," 3,391 ", 3.9 , 0.6 ," 53,395 "," 3,882 ", 8.8 , 0.6 ," 479,351 "," 3,198 ", 79.1 , 0.7 
322,OR,Oregon,2," 619,186 "," 4,754 "," 570,566 "," 4,029 ", 92.1 , 0.4 , N , N , N , N ," 6,561 "," 1,101 ", 1.1 , 0.2 ," 11,251 "," 1,819 ", 1.8 , 0.3 , N , N , N , N ," 7,035 "," 1,934 ", 1.1 , 0.3 ," 18,083 "," 2,067 ", 2.9 , 0.3 ," 47,200 "," 2,927 ", 7.6 , 0.4 ," 535,491 "," 2,956 ", 86.5 , 0.5 
323,OR,Oregon,3," 627,716 "," 5,932 "," 517,373 "," 5,854 ", 82.4 , 0.6 ," 28,243 "," 2,317 ", 4.5 , 0.4 ," 42,605 "," 2,800 ", 6.8 , 0.4 , N , N , N , N , N , N , N , N ," 5,724 "," 1,183 ", 0.9 , 0.2 ," 25,522 "," 2,469 ", 4.1 , 0.4 ," 42,055 "," 3,005 ", 6.7 , 0.5 ," 486,378 "," 4,859 ", 77.5 , 0.5 
324,OR,Oregon,4," 638,548 "," 5,000 "," 577,889 "," 4,294 ", 90.5 , 0.6 , N , N , N , N ," 10,379 "," 1,692 ", 1.6 , 0.3 ," 8,751 "," 2,273 ", 1.4 , 0.4 , N , N , N , N ," 12,109 "," 2,644 ", 1.9 , 0.4 ," 25,058 "," 2,483 ", 3.9 , 0.4 ," 34,726 "," 2,555 ", 5.4 , 0.4 ," 558,470 "," 3,758 ", 87.5 , 0.5 
325,OR,Oregon,5," 606,523 "," 6,245 "," 534,933 "," 6,220 ", 88.2 , 0.7 , N , N , N , N ," 12,700 "," 1,882 ", 2.1 , 0.3 , N , N , N , N , N , N , N , N ," 22,572 "," 4,020 ", 3.7 , 0.7 ," 22,413 "," 2,642 ", 3.7 , 0.4 ," 59,285 "," 3,629 ", 9.8 , 0.5 ," 503,966 "," 4,524 ", 83.1 , 0.6 
326,PA,Pennsylvania,1," 544,860 "," 4,939 "," 485,517 "," 4,178 ", 89.1 , 0.5 ," 18,522 "," 1,508 ", 3.4 , 0.3 ," 28,270 "," 2,954 ", 5.2 , 0.5 , N , N , N , N , N , N , N , N ," 4,568 "," 1,362 ", 0.8 , 0.3 ," 7,510 "," 1,663 ", 1.4 , 0.3 ," 21,258 "," 1,738 ", 3.9 , 0.3 ," 470,789 "," 3,610 ", 86.4 , 0.6 
327,PA,Pennsylvania,2," 496,510 "," 12,153 "," 255,993 "," 8,212 ", 51.6 , 1.5 ," 131,605 "," 8,762 ", 26.5 , 1.4 ," 30,679 "," 3,358 ", 6.2 , 0.6 , N , N , N , N , N , N , N , N ," 63,238 "," 5,001 ", 12.7 , 1.0 ," 12,957 "," 2,827 ", 2.6 , 0.6 ," 107,789 "," 4,624 ", 21.7 , 1.0 ," 221,042 "," 7,017 ", 44.5 , 1.2 
328,PA,Pennsylvania,3," 564,612 "," 11,678 "," 208,667 "," 6,516 ", 37.0 , 0.9 ," 307,689 "," 8,873 ", 54.5 , 1.2 ," 24,890 "," 3,048 ", 4.4 , 0.5 , N , N , N , N , N , N , N , N ," 5,295 "," 1,398 ", 0.9 , 0.2 ," 16,948 "," 2,793 ", 3.0 , 0.5 ," 23,412 "," 2,626 ", 4.1 , 0.5 ," 196,371 "," 6,542 ", 34.8 , 0.9 
329,PA,Pennsylvania,4," 543,723 "," 4,822 "," 454,586 "," 4,515 ", 83.6 , 0.6 ," 52,262 "," 2,120 ", 9.6 , 0.4 ," 22,373 "," 2,737 ", 4.1 , 0.5 , N , N , N , N , N , N , N , N ," 4,705 "," 1,315 ", 0.9 , 0.2 ," 9,628 "," 3,297 ", 1.8 , 0.6 ," 18,783 "," 1,486 ", 3.5 , 0.3 ," 441,795 "," 4,286 ", 81.3 , 0.6 
330,PA,Pennsylvania,5," 519,983 "," 6,115 "," 363,487 "," 4,541 ", 69.9 , 0.8 ," 118,476 "," 5,288 ", 22.8 , 0.9 ," 24,754 "," 2,699 ", 4.8 , 0.5 , N , N , N , N , N , N , N , N , N , N , N , N ," 9,032 "," 3,853 ", 1.7 , 0.7 ," 17,273 "," 1,517 ", 3.3 , 0.3 ," 352,547 "," 4,189 ", 67.8 , 0.8 
331,PA,Pennsylvania,6," 522,912 "," 4,827 "," 449,691 "," 4,330 ", 86.0 , 0.7 ," 32,287 "," 1,783 ", 6.2 , 0.3 ," 14,144 "," 1,672 ", 2.7 , 0.3 , N , N , N , N , N , N , N , N ," 16,911 "," 2,985 ", 3.2 , 0.6 ," 9,541 "," 1,958 ", 1.8 , 0.4 ," 53,752 "," 3,039 ", 10.3 , 0.5 ," 417,509 "," 3,391 ", 79.8 , 0.6 
332,PA,Pennsylvania,7," 552,078 "," 4,662 "," 469,476 "," 5,243 ", 85.0 , 0.9 ," 34,943 "," 3,137 ", 6.3 , 0.6 ," 13,253 "," 1,772 ", 2.4 , 0.3 , N , N , N , N , N , N , N , N ," 20,031 "," 4,086 ", 3.6 , 0.7 ," 12,391 "," 1,948 ", 2.2 , 0.4 ," 80,928 "," 3,033 ", 14.7 , 0.5 ," 419,773 "," 3,419 ", 76.0 , 0.6 
333,PA,Pennsylvania,8," 535,133 "," 5,536 "," 480,360 "," 4,900 ", 89.8 , 0.7 ," 27,511 "," 3,372 ", 5.1 , 0.6 ," 7,691 "," 1,374 ", 1.4 , 0.3 , N , N , N , N , N , N , N , N ," 9,335 "," 2,234 ", 1.7 , 0.4 ," 9,552 "," 2,084 ", 1.8 , 0.4 ," 44,055 "," 2,454 ", 8.2 , 0.4 ," 450,419 "," 3,798 ", 84.2 , 0.6 
334,PA,Pennsylvania,9," 555,775 "," 5,005 "," 518,358 "," 5,086 ", 93.3 , 0.5 ," 15,716 "," 1,907 ", 2.8 , 0.3 ," 5,016 ", 961 , 0.9 , 0.2 , N , N , N , N , N , N , N , N ," 10,844 "," 2,075 ", 2.0 , 0.4 ," 5,481 "," 2,854 ", 1.0 , 0.5 ," 28,993 "," 1,831 ", 5.2 , 0.3 ," 503,528 "," 4,910 ", 90.6 , 0.5 
335,PA,Pennsylvania,10," 552,761 "," 5,816 "," 460,919 "," 6,333 ", 83.4 , 0.6 ," 56,947 "," 2,134 ", 10.3 , 0.4 ," 13,759 "," 1,453 ", 2.5 , 0.3 , N , N , N , N , N , N , N , N ," 7,704 "," 1,868 ", 1.4 , 0.3 ," 12,505 "," 2,298 ", 2.3 , 0.4 ," 33,868 "," 2,154 ", 6.1 , 0.4 ," 441,207 "," 5,431 ", 79.8 , 0.5 
336,PA,Pennsylvania,11," 553,568 "," 5,995 "," 504,688 "," 5,648 ", 91.2 , 0.6 ," 17,933 "," 1,805 ", 3.2 , 0.3 ," 8,037 "," 1,021 ", 1.5 , 0.2 , N , N , N , N , N , N , N , N ," 12,607 "," 3,025 ", 2.3 , 0.5 ," 8,659 "," 3,376 ", 1.6 , 0.6 ," 37,151 "," 2,429 ", 6.7 , 0.4 ," 484,533 "," 5,348 ", 87.5 , 0.5 
337,PA,Pennsylvania,12," 551,022 "," 3,977 "," 526,661 "," 3,644 ", 95.6 , 0.2 ," 11,901 "," 1,785 ", 2.2 , 0.3 ," 4,991 ", 811 , 0.9 , 0.1 , N , N , N , N , N , N , N , N , N , N , N , N ," 3,925 "," 1,753 ", 0.7 , 0.3 ," 10,742 "," 1,107 ", 1.9 , 0.2 ," 519,347 "," 3,608 ", 94.3 , 0.2 
338,PA,Pennsylvania,13," 545,111 "," 3,919 "," 516,724 "," 3,728 ", 94.8 , 0.4 ," 16,075 "," 1,739 ", 2.9 , 0.3 ," 2,209 ", 834 , 0.4 , 0.2 , N , N , N , N , N , N , N , N ," 1,840 ", 762 , 0.3 , 0.1 ," 8,046 "," 2,735 ", 1.5 , 0.5 ," 8,760 "," 1,633 ", 1.6 , 0.3 ," 511,304 "," 3,489 ", 93.8 , 0.4 
339,PA,Pennsylvania,14," 551,164 "," 2,665 "," 523,728 "," 2,370 ", 95.0 , 0.2 ," 16,477 "," 2,211 ", 3.0 , 0.4 ," 3,505 ", 592 , 0.6 , 0.1 , N , N , N , N , N , N , N , N , N , N , N , N ," 6,469 "," 2,274 ", 1.2 , 0.4 ," 6,330 ", 666 , 1.1 , 0.1 ," 518,637 "," 2,316 ", 94.1 , 0.2 
340,PA,Pennsylvania,15," 548,615 "," 4,573 "," 526,103 "," 4,275 ", 95.9 , 0.3 , N , N , N , N ," 2,867 ", 741 , 0.5 , 0.1 , N , N , N , N , N , N , N , N , N , N , N , N ," 6,280 "," 1,806 ", 1.1 , 0.3 ," 6,687 ", 715 , 1.2 , 0.1 ," 522,481 "," 4,124 ", 95.2 , 0.3 
341,PA,Pennsylvania,16," 539,710 "," 2,919 "," 501,628 "," 3,182 ", 92.9 , 0.3 ," 22,529 "," 1,338 ", 4.2 , 0.2 ," 3,902 ", 830 , 0.7 , 0.2 , N , N , N , N , N , N , N , N , N , N , N , N ," 7,184 "," 2,834 ", 1.3 , 0.5 ," 10,508 ", 703 , 1.9 , 0.1 ," 495,236 "," 2,976 ", 91.8 , 0.3 
342,PA,Pennsylvania,17," 559,285 "," 6,462 "," 508,180 "," 7,442 ", 90.9 , 0.6 ," 31,973 "," 2,787 ", 5.7 , 0.5 ," 9,500 "," 1,546 ", 1.7 , 0.3 , N , N , N , N , N , N , N , N ," 1,400 ", 519 , 0.3 , 0.1 ," 8,279 "," 3,635 ", 1.5 , 0.6 ," 7,321 "," 1,083 ", 1.3 , 0.2 ," 503,418 "," 7,370 ", 90.0 , 0.6 
343,PA,Pennsylvania,18," 544,390 "," 6,168 "," 427,121 "," 7,037 ", 78.5 , 0.7 ," 90,399 "," 3,301 ", 16.6 , 0.6 ," 12,581 "," 1,501 ", 2.3 , 0.3 , N , N , N , N , N , N , N , N , N , N , N , N ," 11,048 "," 1,770 ", 2.0 , 0.3 ," 9,730 "," 1,132 ", 1.8 , 0.2 ," 420,235 "," 7,118 ", 77.2 , 0.7 
344,RI,Rhode Island,1," 395,409 "," 6,058 "," 323,031 "," 6,031 ", 81.7 , 1.3 ," 27,650 "," 3,167 ", 7.0 , 0.8 ," 9,436 "," 1,611 ", 2.4 , 0.4 , N , N , N , N , N , N , N , N ," 22,408 "," 4,104 ", 5.7 , 1.0 ," 11,418 "," 2,134 ", 2.9 , 0.5 ," 52,719 "," 4,441 ", 13.3 , 1.0 ," 293,545 "," 4,518 ", 74.2 , 1.2 
